poi_name,poi_rating,poi_price,poi_category,poi_address,poi_latitude,poi_longitude,source,nearest_bike_station,distance_to_nearest_station,bike_station_name,bike_station_latitude,bike_station_longitude,number_of_bikes
Egeli Balık Restaurant,5.0,Unknown,['Seafood'],"Mustafa Kemal Sahil Blv. No:751, Güzelyalı, 35370 İzmir, Turkey",38.3992803603057,27.0816243750933,yelp,Göztepe Köprü,185.52910517181624,Göztepe Köprü,38.3992000613,27.0837509082,30
ACO,5.0,Unknown,['Fast Food'],"Mithat Paşa Cad., No: 1045/D, 35290 İzmir, Turkey",38.398941,27.080633,yelp,Göztepe Köprü,273.2296857405948,Göztepe Köprü,38.3992000613,27.0837509082,30
Güzelyalı Dürümcüsü,4.0,Unknown,"['Turkish', 'Kebab']","36. Sok. No: 1, Karakol Karşısı, 45000 İzmir, Turkey",38.397997,27.080824,yelp,Göztepe Köprü,288.0161626859807,Göztepe Köprü,38.3992000613,27.0837509082,30
The Winston Brasserie,4.6,₺,"['Brasseries', 'Fast Food']","Mithatpaşa Cad. No:1130, Güzelyalı, 35290 İzmir, Turkey",38.398146,27.0833632,yelp,Göztepe Köprü,121.97903129577544,Göztepe Köprü,38.3992000613,27.0837509082,30
Seas Tea,5.0,Unknown,"['Bars', 'Cafes', 'Coffee & Tea']","Güzelyalı Mah., Otopark İç Yolu No:719, 35290 İzmir, Turkey",38.398734,27.083449,yelp,Göztepe Köprü,58.1196123056252,Göztepe Köprü,38.3992000613,27.0837509082,30
Cafe Levent,4.3,₺,"['Cafes', 'Coffee & Tea']","Mithatpaşa Cad. No:1054, Güzelyalı, 35290 İzmir, Turkey",38.3974826,27.0856024,yelp,Göztepe Köprü,250.00791562600278,Göztepe Köprü,38.3992000613,27.0837509082,30
Avni,1.0,Unknown,"['Coffee & Tea', 'Bistros', 'Cafes']","Mithatpaşa Cad. No:1130, 35290 İzmir, Turkey",38.3987243883523,27.0837328695976,yelp,Göztepe Köprü,52.91584728082965,Göztepe Köprü,38.3992000613,27.0837509082,30
Mani'nin Mutfağı,5.0,Unknown,"['Food Delivery Services', 'Turkish', 'Italian']","Esenyalı Mah., 52/72 Sok. No:36/1, 35150 İzmir, Turkey",38.3933035,27.0891766,yelp,Göztepe Köprü,808.3774544444874,Göztepe Köprü,38.3992000613,27.0837509082,30
Sanita Pizza Burger,3.7,₺₺,['Pizza'],"Mustafa Kemal Sahil Bulv., No: 679, İzmir, Turkey",38.398233,27.085825,yelp,Göztepe Köprü,210.3144455689983,Göztepe Köprü,38.3992000613,27.0837509082,30
Blue Vela Restoran,4.0,₺₺,['Seafood'],"Mustafa Kemal Sahil Bulvarı, 40/1 Sokak, Göztepe Vapur İskeleri Karşısı, 35260 İzmir, Turkey",38.398313,27.084348,yelp,Göztepe Köprü,111.51986946947525,Göztepe Köprü,38.3992000613,27.0837509082,30
