restaurant_name,restaurant_latitude,restaurant_longitude,rating,price,category,tel,address,distance,source
Konak Subay Orduevi Kahve'Nin Âlâsı,38.415298,27.124938,3.7,2.0,Café,,Konak,254,foursquare
Osmanlı,38.418724,27.125827,3.75,2.0,Café,,"Mustafa Kemal Sahil Bul, İzmir",270,foursquare
Kaffa Keyf,38.418746,27.125476,3.6,2.0,Café,(0232) 445 50 45,"Konak Vapur İskelesi Üstü, Konak",305,foursquare
Cevatın Yeri Sahne Cafe,38.414801,27.12348,3.9,2.0,Café,,İzmir,388,foursquare
Tarihi Kemeraltı Börekçisi,38.418298,27.131823,4.1,1.0,Bakery,,Konak,420,foursquare
Cimbomlu Meşhur Söğüşçü,38.419221,27.131919,4.35,1.0,Fast Food,(0232) 445 64 82,"855 Sok, No: 13 / A, 35250 Konak",464,foursquare
Boyoz Cafe,38.41349,27.126529,3.6,2.0,Café,,"Konak, İzmir",350,foursquare
Rıhtım Cafe,38.418718,27.125915,3.2,2.0,Café,,"Konak Vapur İskelesi Yanı, Konak",280,foursquare
Gümüş Salon,38.41536,27.124899,3.05,2.0,Breakfast,,,263,foursquare
Sakiz Restaurant,38.428781,27.136552,4.2,3.0,Seafood,(0232) 464 11 03,"Ataturk Cad No: 158/A Konak, 35220 Konak",90,foursquare
Gümüş Balık Restaurant,38.426273,27.132392,4.2,3.0,Seafood,(0232) 483 37 47,"Kazım Dirik Cad, No: 1 / A, Pasaport (1.Kordon), İzmir",141,foursquare
Çınaraltı Meyhanesi,38.42563,27.134143,4.6,2.0,Turkish,(0232) 425 47 93,"Vali Kazım Dirik Cad No:22 A, İzmir",240,foursquare
Hisar Balık Pişiricisi,38.425854,27.13434,4.35,3.0,Seafood,(0232) 489 25 25,"Vali Kazım Dirik Cad, No: 18 / A, 35210 Konak",241,foursquare
Scappi,38.427954,27.135637,4.4,3.0,American,0530 609 13 19,"Gaziosmanpasa Bul No:1, 35210 İzmir",261,foursquare
Cafe Swiss,38.427898,27.135588,4.45,2.0,Café,(0232) 414 00 00,"Gazi Osman Paşa Bul Swissotel Grand Efes İzmir No: 1, Pasaport, Konak, İzmir, 35110 İzmir",288,foursquare
Skyfire Restaurant & Bar,38.426652,27.135694,4.25,,Modern European,(0232) 497 77 77,"Gazi Osman Paşa BLV. No:16 (G.O.P  Bulvari), İzmir",273,foursquare
Midpoint Alsancak,38.428502,27.136306,4.35,2.0,Dining and Drinking,(0232) 402 00 25,"Şehit Nevres Bul Swiss Hotel No: 2/A, Alsancak, İzmir",319,foursquare
Kordonboyubalik.,38.429904,27.134669,4.2,3.0,Seafood,,"Atatürk Cad No:174/B Alsancak Konak, 35220 İzmir",330,foursquare
Fish & Steak House,38.42996,27.134719,4.2,3.0,Seafood,(0232) 463 10 20,"Atatürk Cad, No: 174 Daire: 1, Alsancak, 35220 Konak",341,foursquare
Kordonboyubalik.,38.429904,27.134669,4.2,3.0,Seafood,,"Atatürk Cad No:174/B Alsancak Konak, 35220 İzmir",37,foursquare
Fish & Steak House,38.42996,27.134719,4.2,3.0,Seafood,(0232) 463 10 20,"Atatürk Cad, No: 174 Daire: 1, Alsancak, 35220 Konak",42,foursquare
Zaferin Yeri Restaurant,38.430625,27.135398,4.7,3.0,Seafood,0533 199 26 80,"Kultur, Ataturk Cad No: 184 / B, 35220 İzmir",117,foursquare
Körfez Ali Restorant İşletmeciliği,38.430625,27.135398,4.2,3.0,Seafood,(0232) 421 01 90,"Atatürk Cad No:182, A Alsancak, Konak",97,foursquare
Balıkçı Hasan,38.43096,27.135694,4.3,3.0,Seafood,(0232) 464 13 54,"Atatürk Cad, No: 186, Kordon (1.Kordon), 35100 Konak",128,foursquare
Deniz Restaurant,38.43129,27.136077,4.35,3.0,Diner,(0232) 464 44 99,"Atatürk Cad No: 188, 35220 Konak",183,foursquare
Lokanta Mahalle,38.429904,27.136523,4.4,,Turkish Home Cooking,(0232) 502 26 46,"Mustafa Münir Birsel Sok No:8/A, Konak",198,foursquare
Midpoint Alsancak,38.428502,27.136306,4.35,2.0,Dining and Drinking,(0232) 402 00 25,"Şehit Nevres Bul Swiss Hotel No: 2/A, Alsancak, İzmir",240,foursquare
Scappi,38.427954,27.135637,4.4,3.0,American,0530 609 13 19,"Gaziosmanpasa Bul No:1, 35210 İzmir",253,foursquare
Teras,38.43167,27.136598,4.25,,Dining and Drinking,,"Atatürk Cad No:190 Alsancak, İzmir",253,foursquare
Birinci Kordon Balık Restoran,38.433692,27.138197,4.3,3.0,Seafood,(0232) 422 40 01,"Atatürk Cad No: 196/A, 35220 İzmir",24,foursquare
Yemek Salonu - Kordon Orduevi,38.432793,27.137496,4.4,2.0,Breakfast,,,134,foursquare
İdil Mantı Evi,38.433285,27.138115,3.85,,Manti,(0232) 422 25 23,"No 1/B Doktor Mustafa Enver Bey Cad (Mustafa Enver Bey Cad), İzmir",91,foursquare
Beş Kardeşler Büfe,38.439268,27.144229,4.35,2.0,Sandwich Spot,(0232) 421 51 59,"1382 Sok No:4/C, 35220 Konak",197,foursquare
Pier’S,38.43253,27.139767,4.35,,Restaurant,,"Dr. Mustafa Enver Bey Cad, İzmir",209,foursquare
Ristorante Pizzeria Venedik,38.431966,27.138435,4.4,3.0,Pizza,(0232) 422 18 26,"1382 Sok, No: 10 / A, Alsancak, 35110 İzmir",216,foursquare
Tepeleme Söğüş,38.432016,27.137645,4.15,2.0,Turkish,,"Cumhuriyet Bul No:163, İzmir",210,foursquare
Favino Alsancak,38.432765,27.140715,4.5,,Theme Restaurant,(0232) 421 93 90,"Dr. Mustafa Enver Bey Cad No:11/A, 35220 İzmir",259,foursquare
Murano’S,38.432156,27.139158,4.25,3.0,Italian,,İzmir,244,foursquare
Ayvalık Balıkçısı Kerem,38.432428,27.136793,3.95,3.0,Seafood,(0232) 404 35 10,"Atatürk Cad No:192/B (Atatürk Caddesi), İzmir",213,foursquare
Yengeç Restaurant,38.438078,27.141603,4.4,3.0,Seafood,(0232) 464 57 57,"Ataturk Cad No: 314/A 1 Kordon Alsancak, Alsancak Vapur Iskelesi Karsisi (1.Kordon), İzmir",25,foursquare
Moresi Eskiköy,38.439631,27.142232,4.3,2.0,Breakfast,(0232) 463 26 46,"Atatürk Cad No:344/1 Kordon, İzmir",145,foursquare
Giritli Kâmuran,38.439804,27.142292,4.45,2.0,Café,(0232) 369 20 01,"Atatürk Cad No: 354/A Konak (alsancak), 35100 İzmir",169,foursquare
Ateş Ocakbaşı,38.436994,27.141944,4.4,2.0,Turkish,(0232) 422 10 80,"Can Yucel Sok No: 3/A Konak, 35220 İzmir",184,foursquare
Iskele Meyhanesi,38.439514,27.142221,3.75,,Bar,0553 215 60 10,"Ataturk Cad No: 340/A Alsancak - Kordon, İzmir",122,foursquare
Teyzem Börek,38.438357,27.143703,4.4,1.0,Bakery,(0232) 290 80 40,"Kıbrıs Şehitleri Cad No:98/A, Konak",198,foursquare
Alsancak Dostlar Fırını - Boyoz,38.439055,27.143856,4.65,1.0,Bakery,(0232) 421 92 02,"Kıbrıs Şehitleri Cad No: 120 Alsancak, 35210 İzmir",222,foursquare
"Meşhur Tavacı Recep Usta, Alsancak",38.440665,27.142681,4.4,3.0,Pide,(0232) 463 87 97,"Atatürk Cad, No: 364, Alsancak, Konak",253,foursquare
Alsancak Tostçu,38.439995,27.142774,3.85,2.0,Fast Food,(0232) 421 75 48,"1479 Sok No:3/C, 35220 İzmir",207,foursquare
Münire,38.437429,27.144368,4.6,1.0,Café,0535 259 68 46,"1484 Sok No:4, Alsancak (Kıbrıs Şehitleri Cad. Garanti Bankası Sokağı), 35220 İzmir",283,foursquare
Haşmetli Meyhane,38.441972,27.143463,4.35,,Meyhane,(0232) 339 41 41,"Ataturk Cad Kordon, No:376\U002Fa (Atatürk Caddesi), İzmir",17,foursquare
Big Baker,38.441532,27.144033,4.35,3.0,American,,Konak,98,foursquare
Bet10 Coffee&Bistro,38.441469,27.14302,4.2,1.0,Dining and Drinking,,"Atatürk Cad 1 Kordon No:370/B Alsancak (Kordon), İzmir",89,foursquare
Tek Tek Meyhanesi,38.441754,27.143178,3.75,,Meyhane,,"Atatürk Cad No: 372 Kordon, 35220 İzmir",61,foursquare
Fayton Bistro,38.441128,27.142812,4.05,2.0,Café,(0232) 464 33 34,"Alsancak Kordon 366/2A, Alsancak (Kültür cad), 35220 Konak",128,foursquare
"Meşhur Tavacı Recep Usta, Alsancak",38.440665,27.142681,4.4,3.0,Pide,(0232) 463 87 97,"Atatürk Cad, No: 364, Alsancak, Konak",198,foursquare
Cızz Bızz Balık Evi,38.440044,27.14408,4.3,3.0,Seafood,(0232) 465 00 78,"Kibris Sehitleri Cad No: 171/B Alsancak, İzmir",237,foursquare
Giritli Kâmuran,38.439804,27.142292,4.45,2.0,Café,(0232) 369 20 01,"Atatürk Cad No: 354/A Konak (alsancak), 35100 İzmir",275,foursquare
Yalı Çapkını (Yalıçapkını),38.440083,27.143466,3.85,,Meyhane,0545 828 94 11,"1478 Sok No:5/ A, İzmir",221,foursquare
Pirpirim Ocakbaşı Restaurant,38.440569,27.146027,4.3,1.0,BBQ,(0232) 463 11 24,"1473 Sok, No: 5 / A, Alsancak, Konak",292,foursquare
O'Lahmacun,38.439686,27.146916,4.4,2.0,Turkish,(0232) 421 11 99,"1471 Sok No:34, Konak",101,foursquare
Alsancak Dostlar Fırını - Boyozcu Hakan,38.44096,27.146372,4.45,1.0,Bakery,(0232) 421 91 02,"1475 Sok No: 1/A Alsancak, 35220 İzmir",152,foursquare
Pirpirim Ocakbaşı Restaurant,38.440569,27.146027,4.3,1.0,BBQ,(0232) 463 11 24,"1473 Sok, No: 5 / A, Alsancak, Konak",177,foursquare
Sevince Lokantası Ve Meyhanesi,38.439659,27.144574,4.6,,Meyhane,(0232) 421 35 70,"1471 Sok No:20/A, Konak",274,foursquare
Zeynel Ergin Gevrek Fırını,38.438318,27.145245,4.75,1.0,Bakery,(0232) 403 40 04,"1466 Sok No: 2, 35220 Konak",287,foursquare
Alsancak Kebapçısı,38.439659,27.144574,3.9,2.0,Turkish,,"1456 Sok, İzmir",270,foursquare
